Country,Prevalence,Abstinence_Rate,Consumption_Liters,Liters_per_Drinker,Prevalence_Scaled,Liters_per_Drinker_Scaled,Abstinence_Rate_Scaled,Cluster,Cluster_Name
Albania,0.02275222218333333,49.73336391,4.394810303,8.739541874067555,0.21198739775340675,0.2868194544050055,0.8131148247123865,2,The Moderate/Abstinent Culture
Andorra,0.030518867449999997,17.03761017,10.713833333,12.912615448386351,0.40715715697195803,0.5559623411257533,0.031841210831669076,1,The High-Access Social Culture
Austria,0.04182298301666666,20.384690929999998,11.714333333999999,14.7146576590762,0.6912207954638301,0.6721852722435866,0.1118205837530109,1,The High-Access Social Culture
Belarus,0.0333764318,29.9652083,11.310333334000001,16.109673007140927,0.4789655281530945,0.7621569564497961,0.3407495599139038,0,The Concentrated Bingers Culture
Belgium,0.03672740613333333,22.03533348,9.8566666671,12.640772465268455,0.5631729087310544,0.5384297949321306,0.15126312055821328,1,The High-Access Social Culture
Bosnia and Herzegovina,0.027642383700000002,57.35405697,4.8747319166,11.424098424055295,0.3348733559732135,0.45996025495912357,0.9952132847940076,2,The Moderate/Abstinent Culture
Bulgaria,0.0249776567,34.6334271,10.50350579,16.067410867872347,0.2679108375220031,0.7594312546477144,0.4522978729231241,0,The Concentrated Bingers Culture
Croatia,0.029077959549999997,31.15314977,10.287819211,14.942004308256358,0.3709482613364033,0.6868480219787443,0.36913573301534314,0,The Concentrated Bingers Culture
Cyprus,0.028973675983333336,32.33841549,5.6117642231,8.292588081196616,0.3683276963565482,0.25799311528068075,0.39745796836850594,4,The Low-Intensity Social Culture
Czechia,0.027557034533333337,25.189269869999997,12.895000002,17.236620823346822,0.33272859774930835,0.8348395926496166,0.22662725808383438,0,The Concentrated Bingers Culture
Denmark,0.04411214665,22.111363779999998,9.5126666671,12.21285603459466,0.7487456984032022,0.5108312727935449,0.15307988452450055,3,High-Risk Drinking Culture
Estonia,0.022549942916666666,23.84838868,15.101666667,19.797440987814806,0.20690427699602193,1.0,0.19458655024676913,0,The Concentrated Bingers Culture
Finland,0.03418434718333333,21.57312111,8.856,11.28859473419253,0.4992678138144305,0.45122092803342223,0.1402184347081213,1,The High-Access Social Culture
France,0.03586484736666666,22.88526229,11.858999999,15.377725893569334,0.5414974773160652,0.7149499385132061,0.17157239246582695,1,The High-Access Social Culture
Germany,0.0318612739,21.11429085,11.164333334,14.153101916051877,0.4408907877255583,0.6359676664332572,0.1292545652638309,1,The High-Access Social Culture
Greece,0.0289838594,27.336547869999997,7.099157610899999,9.76293519771483,0.36858359770270405,0.3528233310373819,0.2779370292671844,4,The Low-Intensity Social Culture
Hungary,0.028362692700000004,28.341898750000002,11.021000001,15.38045829639239,0.35297416131014786,0.7151261651649496,0.30196015231495915,0,The Concentrated Bingers Culture
Iceland,0.03517724961666667,21.7115405,7.239666666700001,9.243500014021361,0.5242186802680429,0.3193222958138649,0.1435260023487523,4,The Low-Intensity Social Culture
Ireland,0.054110637399999995,17.54700767,11.057666668,13.413555781335884,1.0,0.588270548705558,0.04401339774289831,3,High-Risk Drinking Culture
Israel,0.01431633065,39.92092429,2.5787629691,4.292392256400195,0.0,0.0,0.5786440055391646,2,The Moderate/Abstinent Culture
Italy,0.027541949850000004,25.617810889999998,7.3753333334999995,9.914196673245899,0.33234953138114426,0.36257895826250636,0.2368673581914495,4,The Low-Intensity Social Culture
Latvia,0.026352677400000003,25.58856694,11.188666668,15.025183461616606,0.30246403902990476,0.6922126715713457,0.23616856633357303,0,The Concentrated Bingers Culture
Lithuania,0.028601345099999998,24.23141691,12.912666666000002,17.025178990091582,0.3589713106385501,0.8212026259481293,0.2037391102963126,0,The Concentrated Bingers Culture
Luxembourg,0.03583788466666667,15.70507779,11.511666667,13.657124012000565,0.5408199256208093,0.6039795113076034,0.0,1,The High-Access Social Culture
Malta,0.029310043833333334,23.40233303,7.2300576746,9.434607564522535,0.376780358997794,0.3316478004808688,0.1839279334600557,4,The Low-Intensity Social Culture
Montenegro,0.02509336,46.0,8.214984375,15.212934027777777,0.27081837152496696,0.7043216671258563,0.72390511457412,0,The Concentrated Bingers Culture
North Macedonia,0.023584349233333333,57.554377650000006,4.0295768956,9.494703771269368,0.23289810378046932,0.33552371262973374,1.0000000000000002,2,The Moderate/Abstinent Culture
Norway,0.021144692883333333,22.868325809999998,6.2003333333,8.038159987093385,0.17159143583606545,0.24158374446795067,0.17116769083266564,4,The Low-Intensity Social Culture
Poland,0.038164350933333334,26.883126170000004,10.49,14.346048782656794,0.5992822147437795,0.6484117980156359,0.267102398783118,1,The High-Access Social Culture
Portugal,0.04374588891666667,22.2480339,10.2571833983,13.190446371663649,0.7395419262245766,0.5738810802467975,0.15634565289953212,3,High-Risk Drinking Culture
Republic of Moldova,0.024252140983333333,30.20742925,8.1643441357,11.696044798213757,0.2496791914419601,0.47749946937045756,0.3465374930647645,4,The Low-Intensity Social Culture
Romania,0.02783173523333333,24.33455754,9.9859999997,13.196299547994645,0.33963161283952586,0.5742585815647481,0.20620368271078643,0,The Concentrated Bingers Culture
Russian Federation,0.04116886085,40.16570622,8.832000000799999,14.717735434790033,0.6747832138073371,0.6723837737618434,0.5844931339790398,0,The Concentrated Bingers Culture
Serbia,0.027067189666666668,40.0,7.953041717,13.255069528333333,0.3204191769634653,0.5780489585804369,0.5805335403764147,0,The Concentrated Bingers Culture
Slovakia,0.028746728399999998,27.353813680000002,10.1233333323,13.93516497953894,0.3626246799738508,0.6219117972587618,0.27834960032710093,0,The Concentrated Bingers Culture
Slovenia,0.03242783271666667,28.10637954,10.533333334,14.65135770505277,0.4551279704518704,0.6681027340252332,0.29633235899970917,0,The Concentrated Bingers Culture
Spain,0.026520472766666664,22.3668819,9.5686666667,12.314404767307817,0.30668060618160325,0.5173806706362882,0.1591855570412402,4,The Low-Intensity Social Culture
Sweden,0.05346981085,22.72006093,7.217333333400001,9.339229490452107,0.9838965268568225,0.3254963800163085,0.16762486262535997,3,High-Risk Drinking Culture
Switzerland,0.0393613245,19.79636137,9.0803333334,11.321922002600244,0.6293612301714493,0.4533703742547804,0.0977622945589704,1,The High-Access Social Culture
Ukraine,0.029270331416666667,32.8191229,7.042999999999999,10.450422440773393,0.3757824168319421,0.3971629042285098,0.40894459805187294,4,The Low-Intensity Social Culture
